"","corr_coefs","p_vals","p_vals_adjusted"
"Factor1_16S_otu54_16S",0.720585991717184,9.21789894627167e-43,5.13998060808409e-41
"Factor1_16S_otu48",0.734066378229777,4.29239225916474e-45,2.97567193101556e-43
"Factor1_16S_otu77",0.675572280018783,7.05550928027277e-36,2.74202747028783e-34
"Factor1_16S_otu15",0.611114498087932,6.53879086851046e-28,1.71142842629891e-26
"Factor1_16S_otu46_16S",0.594415341380313,3.91027650329512e-26,9.64409541437691e-25
"Factor1_16S_otu3",0.43565673343852,2.0176400732075e-13,2.69544103530064e-12
"Factor1_16S_otu199",0.583330582306723,5.19538842171226e-25,1.23390475015666e-23
"Factor1_16S_otu352",0.724497164196501,2.00603831998197e-43,1.28637207268844e-41
"Factor1_16S_otu259",0.735012107416082,2.90909899414315e-45,2.13195397713634e-43
"Factor1_16S_otu6",-0.467918691906183,1.69813014800067e-15,2.63982050280104e-14
"Factor1_16S_otu84_16S",0.674603097600828,9.62319018958215e-36,3.6299239465115e-34
"Factor1_16S_otu230",0.683055401087038,6.16886936134079e-37,2.55212095352244e-35
"Factor1_16S_otu351",0.703942145028748,4.58313332993236e-40,2.17698833171787e-38
"Factor1_16S_otu26_16S",0.565467102359783,2.74350198937386e-23,6.22750672809198e-22
"Factor1_16S_otu492_16S",0.729427575516592,2.82485480569988e-44,1.85788527605646e-42
"Factor1_16S_otu135",0.619559086134114,7.51990875516871e-29,2.16725460191098e-27
"Factor1_16S_otu274",0.609816335470153,9.06566571644234e-28,2.34883157198733e-26
"Factor1_16S_otu221",0.705812557692317,2.33110723503624e-40,1.12816793544678e-38
"Factor1_16S_otu140",0.617905540254047,1.15445313292462e-28,3.21866552820832e-27
"Factor1_16S_otu44",-0.5229260725823,1.4004006207015e-19,2.68061760604429e-18
"Factor1_16S_otu246",0.534809844390599,1.4547747250118e-20,2.89263346484905e-19
"Factor1_16S_otu577",0.659364677705367,1.08898598891785e-33,3.87951258551983e-32
"Factor1_16S_otu12",0.380190243849942,2.48024664058311e-10,2.46582660197507e-09
"Factor1_16S_otu368",0.562220934941565,5.49869476886026e-23,1.22644800714144e-21
"Factor1_16S_otu75_16S",0.564733550079167,3.21240241676072e-23,7.22790543771163e-22
"Factor1_16S_otu290",0.552396441748827,4.30744069510772e-22,9.13106229995976e-21
"Factor1_16S_otu32",0.494737071398556,2.14148548936398e-17,3.71142586501257e-16
"Factor1_16S_otu599",0.512231602831328,9.97468527269584e-19,1.84065235427804e-17
"Factor1_16S_otu220",0.613672513091401,3.41944855441452e-28,9.04215004337447e-27
"Factor1_16S_otu419_16S",0.431708737937261,3.49961001819624e-13,4.53358570539059e-12
"Factor1_16S_otu109",0.427851797253703,5.95250264813721e-13,7.44788745974241e-12
"Factor1_16S_otu592",0.559276270618487,1.02639920272614e-22,2.21236466806098e-21
"Factor1_16S_otu20_16S",0.322378363336854,1.12418421822001e-07,8.43138163665004e-07
"Factor1_16S_otu1181_16S",0.655259413660081,3.71536836293628e-33,1.24640040440778e-31
"Factor1_16S_otu2075",-0.753177056887564,1.17906234368713e-48,1.26012287981562e-46
"Factor1_16S_otu170",0.393076146891374,5.33151041527651e-11,5.62770543834743e-10
"Factor1_16S_otu471",0.490703641119871,4.23738125958353e-17,7.15058087554721e-16
"Factor1_16S_otu91",0.43073775558128,4.00284920313865e-13,5.13365410302532e-12
"Factor1_16S_otu863",0.491652274864653,3.61194952973164e-17,6.13553016143157e-16
"Factor1_16S_otu412",0.453026268344672,1.6405540847194e-14,2.41840300419842e-13
"Factor1_16S_otu374",0.436599525964066,1.76712577178366e-13,2.37312963592937e-12
"Factor1_16S_otu252",0.385439793946564,1.33661391967567e-10,1.37687337508758e-09
"Factor1_16S_otu23",0.455719620095077,1.09743209373677e-14,1.66562918368924e-13
"Factor1_16S_otu39",0.317468265228081,1.78809302142048e-07,1.30297119316578e-06
"Factor1_16S_otu29",-0.400834591751965,2.04499574803155e-11,2.28061482334823e-10
"Factor1_16S_otu627",0.503398789043511,4.79583192922515e-18,8.58734554157653e-17
"Factor1_16S_otu1774",-0.742555153125922,1.22986681511778e-46,1.01761560670229e-44
"Factor1_16S_otu14",-0.268905394203637,1.14514909156044e-05,6.34407650076138e-05
"Factor1_16S_otu546",0.482072694132016,1.77148833987523e-16,2.8758655644177e-15
"Factor1_16S_otu1973",-0.627126067993872,1.02327172957298e-29,3.20084388579842e-28
"Factor1_16S_otu249",-0.42484605424186,8.96292415670438e-13,1.08956874227236e-11
"Factor1_16S_otu2248",-0.738061106978608,8.20586910450128e-46,6.37819825849873e-44
"Factor1_16S_otu1454",-0.657962632461494,1.65953292043809e-33,5.67560258789826e-32
"Factor1_16S_otu63",-0.585712137800672,3.00521507286449e-25,7.27205345462021e-24
"Factor1_16S_otu293",0.364759604186726,1.43380894503732e-09,1.33250722609446e-08
"Factor1_16S_otu1993",-0.794165268139346,1.60005718785305e-57,2.93153334774505e-55
"Factor1_16S_otu1079",-0.798679996339952,1.27138969134648e-58,2.7175954652531e-56
"Factor1_16S_otu2023",-0.721510593058828,6.44301648228231e-43,3.67251939490092e-41
"Factor1_16S_otu59",-0.269642098196302,1.08119711966779e-05,6.06842584671311e-05
"Factor1_16S_otu2486",-0.746336956623969,2.41432843844127e-47,2.21169730164352e-45
"Factor1_16S_otu2740",-0.660623338916049,7.44616248118263e-34,2.6900572907371e-32
"Factor1_16S_otu2100",-0.853802452328788,8.04502385634245e-75,6.87849539717279e-72
"Factor1_16S_otu700",0.426569192819821,7.09192566210697e-13,8.78782092913255e-12
"Factor1_16S_otu278",0.361051369179276,2.15616788745493e-09,1.95426524074979e-08
"Factor1_16S_otu2124",-0.842569456079028,5.04854002701967e-71,2.58990103386109e-68
"Factor1_16S_otu2315",-0.734469321329073,3.6375414517405e-45,2.5917482843651e-43
"Factor1_16S_otu373",0.328693735493868,6.11332714679472e-08,4.79531624817384e-07
"Factor1_16S_otu2243",-0.748689506410442,8.64155502937792e-48,8.52522640398245e-46
"Factor1_16S_otu2744",-0.773698448493335,7.33267393394497e-53,1.04490603558716e-50
"Factor1_16S_otu1478",0.448707713244841,3.10296474307381e-14,4.42172475888018e-13
"Factor1_16S_otu731",-0.753211855623235,1.16079651814584e-48,1.26012287981562e-46
"Factor1_16S_otu773",-0.756006085259775,3.28527416869546e-49,3.83033101941084e-47
