"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10"
"M-AA-1",-1.81641466233566,-0.902398851437594,1.45839878080613,0.579929587082377,0.397441923795591,-0.411123057881807,0.686073716776864,-0.756474857468746,-0.317317542395557,0.150864796184795
"M-AA-2",-3.05500009395533,-0.604508836732048,-0.122411657842398,0.849319013396395,-0.365561672180078,-0.176434542451953,1.36270250864108,-0.248028247420368,-0.149373540836385,-0.118817984797317
"M-AA-3",-4.04102711487754,-0.693510786872427,0.257237089784731,1.05688962026103,-0.55279594437364,-0.205850074496214,0.714349305324885,-0.272040254075086,0.306331829651903,0.135064583475076
"M-AA-4",-4.29252637900654,-0.657250204759676,0.0164598309259284,0.939953952194735,-0.526317701269793,-0.142713845207044,0.879803769599989,-0.270636204872225,0.398614267581535,-0.0120784165993017
"M-AA-5",-3.01610095009962,-0.526921524972105,0.839896395423448,0.89576615975986,0.0875080782981636,-0.0145073742303247,2.48012208196374,-0.113215056019022,-0.0428285348714211,-0.162148883416391
"M-AB-1",1.58742289190127,-1.08670822351887,0.473585920531207,-0.296406879096423,-1.64188875564438,0.0745607815890541,-0.403831833882213,-0.287052043242688,-0.37315905185833,0.417424622242666
"M-AB-2",0.650594132475911,-0.961686966439836,1.73315864835926,0.109512352550816,-0.400017299085428,-0.0355216263359735,-1.35126165806335,0.359795822938731,-0.227642235811663,0.800583344597768
"M-AB-3",-0.426591013021326,-0.62398354769442,0.108111864518706,-0.658803182601134,-1.17590468121484,0.0670646259861662,-0.840542204911723,0.206065863067146,-0.288229375281293,-0.163199169562514
"M-AB-4",0.00617302033450072,-0.611866950855739,0.395021705680975,-0.692972388360653,-1.27520318588668,0.0521733324239972,-0.824159269098607,0.402054230355336,-0.285311826145273,0.477809921892747
"M-AC-1",2.03209995083593,-0.928985675202671,-0.0749430093519312,0.452943980911248,-2.70766034237537,-0.181144574497938,1.07144391796524,-0.142632628438672,-0.373532789646547,0.143203459131629
"M-AC-2",2.14395742051565,-0.829857361708526,-0.472382629568706,0.899131597346822,-2.81948155788516,-0.141382884155463,0.591865990689854,-0.0779666015044857,-0.054231023590054,0.171723865251664
"M-AC-3",-0.852644161723755,1.17443041481967,-0.606206089185027,0.871699777037395,-0.244452355207594,-0.259002016738348,0.0170308217802688,-0.106976858819843,0.303297562084062,-0.258568411692951
