,Valeric acid,Hexanoic acid,Butyric acid,2-Methylbutyric acid,Dehydrolithocholic acid,Tauroursodeoxycholic acid,Isovaleric acid,ICA,Propionic acid,Ursodeoxycholic acid,Isobutyric acid,Taurocholic acid,Deoxycholic acid,Glycocholic acid,Glycoursodeoxycholic acid
unclassified_Lachnospiraceae,7.01534004827089e-19,0.00088540239222455,3.707912275231e-24,9.09161074343336e-15,1.02891110675947e-09,7.73306734402873e-09,2.05775273074134e-17,1.06880868656626e-12,2.60207775895284e-17,0.0195202335612535,1.50630570980034e-15,0.0656172321524424,6.32486372411219e-05,3.907658370944e-06,0.000111222082118689
unidentified,2.02256470746657e-10,4.86337691901383e-07,6.53598699418753e-08,1.98828510385756e-05,5.53137882372065e-05,4.40520359683679e-06,1.91061876316651e-06,6.47677035676065e-09,4.14342467566105e-06,5.42724595716673e-08,4.00592465918186e-06,0.139364505623312,0.0303841562005213,0.000426776408600302,0.00217758735841025
Ruminococcus,1.43817439021257e-10,3.34242631328384e-06,3.97467971163058e-10,3.34242631328384e-06,0.000308198210717028,4.36460902637205e-05,8.50570377550647e-08,4.65995095146795e-10,2.86386079026506e-07,4.71585307305302e-05,1.48438779404331e-07,0.126941611820892,0.0474354538895368,0.000827766306708785,0.00357832396264573
Subdoligranulum,1.77368666966917e-09,0.0168352376255807,7.12182317177156e-10,1.8720228742571e-06,3.32570638842861e-05,4.32868380220272e-07,2.83176764726422e-07,2.52335227419419e-09,8.77655535258263e-09,0.000516925211417925,1.55088223644197e-06,0.00921584200557364,0.00131442087644364,0.000101568946455933,5.71604020372638e-05
Alistipes,2.02233464358117e-09,0.00163256178709535,1.80383427417454e-06,3.15759433543644e-09,0.000528557050830218,6.51667400450766e-08,2.01334387202709e-11,1.25703699819051e-11,2.46719277793939e-10,0.000577651924471804,3.17808369661379e-10,0.0132504593379294,0.0225477742347718,4.71585307305302e-05,0.00115920473858783
Bacteroides,2.19888848625869e-15,0.0649158922142264,3.86357342443106e-10,6.16655147895199e-12,6.67094578685689e-06,2.35332709902591e-08,4.8014350414176e-17,3.01483624619778e-07,4.75426479120604e-22,0.0554054062884861,1.45785249110186e-13,0.000280545544887138,0.0702995911774225,0.000371033909455141,0.000221342598578508
Faecalibacterium,4.48836006722306e-10,1.0748449769085e-06,2.21174957214749e-11,3.03560186631368e-05,0.00547638191472742,1.06375117970456e-05,1.96598010340573e-06,3.0430771201889e-05,3.49074904294391e-07,0.00178371379622089,1.77423668741224e-06,0.00359924175661625,0.434270607872725,0.00188462506178061,0.000513910270645638
Lachnospiraceae NC2004 group,2.73556137783666e-11,9.76720071616379e-08,5.66359567545107e-10,1.32265153006909e-07,7.6771516195917e-06,4.14519203703296e-09,1.86676894087219e-09,6.54574351765284e-09,6.07131626066644e-10,0.000124582206184078,8.77655535258263e-09,0.00118116758121756,0.217925829495381,0.000690772100561704,3.88825678483459e-05
Lachnospiraceae UCG-008,8.6471375965643e-15,1.22827192864068e-05,2.05775273074134e-17,1.1329214368399e-08,1.98865995206708e-11,0.000105598878831955,4.99866850636123e-11,2.77933599260076e-08,1.03832348154965e-10,0.0072635842567943,3.8161658021861e-09,0.0305937759199894,0.000358843512648436,3.03560186631368e-05,6.68641510594194e-05
Enterococcus,1.27683823974874e-07,4.30507837087114e-05,3.88825678483459e-05,0.000352480312303407,0.00142344402726672,3.43825084146853e-08,1.05003951702443e-05,0.000236347423913614,0.000110421962928425,8.27217952612485e-08,0.000924094527582681,0.251833854532418,0.126835203346556,0.201094179462106,0.00299255379513613
Oscillibacter,3.40725008786865e-14,1.57804065747617e-06,3.45463373986049e-11,7.46063098301036e-09,6.89727990677446e-07,2.85598988213709e-07,1.92324311615088e-11,8.35991506678198e-08,8.7400794820238e-11,6.86465490754832e-06,1.67708548744889e-10,7.69150912482806e-05,0.340106973544902,0.000229002899031072,2.20743525486792e-05
Blautia,1.32472549467731e-15,4.60812732293206e-05,2.25673225322567e-17,3.45463373986049e-11,1.01885117922773e-10,4.60812732293206e-05,1.30025465420826e-14,9.19399459774192e-11,2.623366790723e-13,0.0241839996321351,3.63697325071522e-11,0.162641423128765,0.00164290586789051,0.000206286202780397,0.00299255379513613
[Ruminococcus] torques group,5.61809639045859e-12,7.86671943075522e-06,3.52076344778832e-11,9.92747009996386e-08,6.82638094625815e-08,0.0016336512554908,1.31777636427724e-09,1.84303840914104e-08,7.69232817827976e-10,0.0195996529747812,2.04682503529797e-07,0.180862303317222,0.0195351241433343,0.00142344402726672,0.0292611784986899
Lachnoclostridium,4.26624949077175e-12,0.00359924175661625,4.43430408793708e-16,8.33064333078205e-12,4.591496176858e-09,4.17073319141984e-06,1.32472549467731e-15,4.92923376523197e-09,1.56190480177689e-14,0.00492061960240198,3.45463373986049e-11,0.240676594991502,0.000411894417733132,0.000140528738411569,4.52286202867316e-05
unclassified_Oscillospiraceae,2.83606841224121e-13,6.84697489919286e-05,8.35991506678198e-08,2.36142541292189e-07,4.22393355061128e-07,5.18212118182777e-09,3.54269822744138e-09,1.31640518950716e-09,9.68049367382507e-08,6.4387480439038e-07,1.20454334470652e-08,0.0030232479959953,0.0199004307964257,8.52571049713211e-05,4.52286202867316e-05
