,VC_882_0,VC_334_2,G03J_7875_V2__664,G03J_7869_V4__357,VC_337_0,VC_334_0,VC_334_1,VC_334_3,VC_1015_0,VC_1074_0,G23J_8062V__2957,G01M_8528_V__367,G03J_7944_V3__2093,VC_1266_1,VC_432_0
unclassified_Lachnospiraceae,0.00011191362900604,0.015365701045306,0.215514753007901,0.0155797894254567,0.0339731063743925,0.0349546171147117,0.122991757992581,0.0893911019999977,0.00705302914628996,2.25508253342133e-08,0.111062841266938,7.03155687675753e-05,0.0428821031845636,1.11387086250368e-07,0.0734560914887606
unidentified,0.0109779577442029,0.011887888486209,0.522428000396811,0.331245918985213,0.0314786805319823,0.011887888486209,0.0441740370139247,0.0294971753495679,0.00084377632583615,0.000897733267080395,0.0349546171147117,0.0188181409478776,0.000630946403828565,0.00194606638472892,0.00436583307080323
Ruminococcus,0.00873165447366198,0.00427186213150997,0.226969239325719,0.187353967863986,0.00477568796606203,0.00427186213150997,0.0152153355295352,0.0088083368993862,0.100034172196281,0.00253103783880924,0.0432370671981088,0.0173455737130532,0.117123719545329,0.000723086037418842,0.224992857820481
Subdoligranulum,0.00186780110443144,0.0014023959388814,0.984213755245057,0.221469986381747,0.00210703973592987,0.00278221420210004,0.011887888486209,0.0110674886078786,0.0320430196506701,0.00084377632583615,0.040411904642578,0.00344244808358471,0.0173455737130532,2.13837397965948e-06,0.0170588841460257
Alistipes,0.000455780236239074,0.00181295224321075,0.936164183972844,0.936164183972844,0.00518121095483837,0.000719187061559282,0.00268406159722566,0.00136934357110134,0.361211758717278,0.00119322899237743,0.0132489239182526,0.00082415319837145,0.114441763133566,1.74268713572537e-05,0.676384547780275
Bacteroides,0.000528413130488005,0.000705825766124522,0.680539075422105,0.0666673627282469,0.000489644851334665,0.0035440921876075,0.00210703973592987,0.00591076468040857,0.16420734042634,0.000137293169911583,0.0115408791760876,0.000222337199179613,0.0288435425380383,1.66780272201311e-07,0.00022295284801901
Faecalibacterium,0.0097629005469832,0.000318427247508297,0.388089109439542,0.68876473119621,0.000379937229362712,0.00033995620821199,0.000911730019284634,0.001631461479389,0.0457900181829538,0.0175194360775241,0.00278221420210004,0.0432370671981088,0.163237034338966,0.00321467133330388,0.122991757992581
Lachnospiraceae NC2004 group,0.000852799983051957,5.61004641417784e-06,0.0559411513942073,0.998568455386255,1.74268713572537e-05,3.06927378822064e-05,9.46636714281065e-05,3.06927378822064e-05,0.026388679687515,0.000453492680531433,0.000106095926772586,0.00084377632583615,0.0428821031845636,1.17670987779883e-05,0.0306233280322525
Lachnospiraceae UCG-008,9.46636714281065e-05,0.00635127004686394,0.0116418077110194,0.0717166925632213,0.00639814220742369,0.0157288781702506,0.0625015066804957,0.0457900181829538,0.00533501992824118,3.06927378822064e-05,0.0112469919353807,9.49985184912014e-05,0.0212464638669007,9.46636714281065e-05,0.0191077357804178
Enterococcus,0.388089109439542,9.56110664556797e-16,0.130127102267661,0.860511191185115,1.15849653248497e-14,1.96042561688178e-15,1.1951589518865e-14,9.80250925337754e-15,0.0115408791760876,0.00326880509686712,1.23735601336847e-11,0.35442474330266,0.0349546171147117,1.73455158235646e-05,0.0179375994583405
Oscillibacter,0.00128216348080313,8.46203342142079e-05,0.0372670231358982,0.678860141884307,9.46636714281065e-05,5.72896388855869e-05,0.000647986427156472,0.00249100300352567,0.000304688818387972,0.000842186770347146,1.09107303982694e-05,0.00084377632583615,0.0121024013173132,0.000530479407653493,0.0118475605160815
Blautia,0.000587074684085954,0.015365701045306,0.0264725664829585,0.0243300502574555,0.0463048906706235,0.0558835490205376,0.127018346610832,0.133350612965892,9.46636714281065e-05,7.40805999817263e-07,0.0169626586284901,0.000536637142735632,0.00429757754411587,0.000605087135213134,0.0101534185613839
[Ruminococcus] torques group,0.000436154671463075,0.0523759085413159,0.0357420724046933,0.20143710387966,0.171049949803325,0.0932836226678413,0.201890918372303,0.123237717799688,0.00477568796606203,9.46636714281065e-05,0.274235587047302,0.000661561464038393,0.00906523213425539,0.00188936157815263,0.0884156235995148
Lachnoclostridium,0.00022295284801901,0.215514753007901,0.800128348202376,0.0247209869416667,0.325986797375923,0.376072208776279,0.650958212734274,0.583585351327416,0.00194606638472892,2.5858531747851e-06,0.433165859666311,7.69423290514903e-05,0.011887888486209,0.000436154671463075,0.0104890416309963
unclassified_Oscillospiraceae,0.00253103783880924,0.0101534185613839,0.856843939971168,0.673677862456449,0.00705302914628996,0.0194954125068247,0.0177419395027287,0.0238091366631425,0.000902140884963093,2.61847910599967e-06,0.00197352352000573,0.00518666766770821,0.00268406159722566,0.00088538893685477,0.00477568796606203
