,Ursocholic acid,7-Dehydrocholic acid,3-Dehydrocholic acid,Chenodeoxycholic acid,Cholic acid,Butyric acid,2-Methylbutyric acid,Isovaleric acid,Desaminotyrosine,Ursodeoxycholic acid,Valeric acid,Propionic acid,g-Muricholic acid hyocholic acid,Glycodeoxycholic acid,Dehydrolithocholic acid
Lachnoclostridium,2.09928055458196e-09,3.83687700126587e-05,0.0021112859793236,0.242540384921567,0.878257365720154,5.70124811306196e-16,9.02486360834723e-12,1.45719804414505e-15,1.97959443482695e-07,0.00786492477433103,4.46016992217046e-12,2.04249089463132e-14,0.49840838827074,0.928210579446156,7.69075609623715e-09
unclassified_Lachnospiraceae,7.92942429839499e-07,0.000541659758147258,0.000222576718746519,0.210291452559933,0.912997802747078,3.707912275231e-24,1.23976510137728e-14,2.87782686017748e-17,8.08235348944653e-10,0.0299508927161217,1.05230100724063e-18,3.03575738544498e-17,0.0925382854962495,0.971724647834918,1.64625777081515e-09
Flavonifractor,1.14120141194494e-05,9.88381530110943e-07,0.00107339302256136,0.853385102449479,0.183645716492189,2.87782686017748e-17,2.24930828241083e-11,2.66945415634813e-14,2.64881121879643e-10,0.0222701981534853,1.45719804414505e-15,7.52119616210609e-14,0.232611243966171,0.116726315131257,4.3336059771477e-07
[Ruminococcus] gnavus group,3.3698654112455e-08,0.00100283465686196,0.000525398020484411,0.843239303462965,0.133990317422618,7.64170556833453e-09,1.1330336260148e-05,1.37119747277358e-07,9.38488354563114e-06,0.422351106072667,4.07127070947769e-07,1.17018262665772e-06,0.305370400029853,0.649128413123475,3.98079350017171e-06
Erysipelatoclostridium,0.00175768960582943,1.30502093003292e-06,0.00258964482638478,0.306866410193945,0.472042699311756,1.0323968387222e-08,1.22223198978302e-06,2.21631857083422e-07,9.04293478215543e-06,0.702644733830096,1.18701044207896e-05,2.55750922262279e-08,0.117769233336161,0.845965664391347,0.0259042830804803
[Clostridium] innocuum group,5.13992910782474e-07,1.46660771336532e-13,6.018700046966e-09,0.00248643105122401,0.00206037905919089,1.66160318262603e-06,4.3269273810546e-06,2.41358085250471e-07,1.5089402038038e-05,0.620441506772134,4.33028840253187e-07,7.64170556833453e-09,0.000173565316450579,0.0415212699907,7.35659403140258e-05
Veillonella,0.551989853212187,0.839449147506575,0.206576658495608,0.0359519674448763,0.322365376158296,0.849326142119233,0.519791822905967,0.620441506772134,0.372064899378135,0.0310331657814401,0.0859972323579326,0.692065655001054,0.797503167578385,0.0424711338430692,0.241363401801014
NK4A214 group,0.00222313582136471,0.00104321576225426,0.00104706472896239,3.46008020014882e-05,0.227745101652447,0.0226319846610119,0.0416182255658977,0.0204353575460987,0.765715131508412,1.20603342545201e-06,0.000452188413924755,0.0517816804768695,0.0388308503406677,0.452804156733774,0.119941835293967
Anaerostipes,1.49042991851758e-07,0.000189495071271123,0.00054727401301381,0.928210579446156,0.242540384921567,1.17776552894679e-12,7.85994849706247e-10,1.10773721768123e-13,1.18701044207896e-05,0.0165224433121246,1.21063473666074e-12,1.07810734216842e-12,0.0405953230302397,0.327908678561941,5.92813000694492e-10
unidentified,0.000518588673696844,0.00127841583235635,0.00416602275539904,0.00250355437231341,0.538607665044159,0.795459962089721,0.474638991589705,0.475835643636385,0.162103806967629,0.000171556790065324,0.147216769821776,0.935081929423864,0.00427859541237113,0.702644733830096,0.867945440632133
Blautia,1.58966873490198e-06,0.00407511473307,0.00215336521764062,0.27466602452137,0.959363617016577,2.87782686017748e-17,4.47822892204138e-11,1.73367287227768e-14,1.53666197852268e-11,0.0361007530740568,1.45719804414505e-15,2.91485198969222e-13,0.0551769596963946,0.510527147049885,1.4404447706323e-10
Lachnospiraceae UCG-004,0.0118244046470881,0.00476269358078386,0.685635954671114,0.845965664391347,0.922458149892476,1.44196140477909e-05,2.21294699576859e-05,8.37404848345632e-07,0.000487999029079222,0.246318369904877,1.15863135646113e-06,5.80980507083092e-10,0.237423175281616,0.715708634717081,0.000563547138731808
Family XIII AD3011 group,0.000917386637835683,0.000290003233767073,0.000541659758147258,1.34946613632533e-05,0.0986454610537809,0.300665869072662,0.102671601687206,0.0715741227892908,0.0696406828878136,1.59446160082072e-05,0.00107191683169514,0.159393483200303,0.0303403823422199,0.538607665044159,0.156619355255013
UCG-002,0.0330541943736524,0.0233939345317776,0.0226319846610119,0.00248643105122401,0.538607665044159,0.0358783399252496,0.0517816804768695,0.0300558208551841,0.765715131508412,3.33062192011117e-06,0.000442579968025162,0.0835468877055477,0.0410492580939577,0.317054951684213,0.00387423303597389
Agathobacter,0.00490133401319695,0.902841567455558,0.465981043814647,0.0369387212632563,0.516629310863608,6.55268318137177e-12,2.66983857430017e-06,2.18172720172022e-08,0.000112206880841816,0.00476269358078386,5.37809163525462e-11,5.15133835232569e-08,0.701306534583736,0.944377277039817,4.24641764521978e-06
