,Ursocholic acid,7-Dehydrocholic acid,3-Dehydrocholic acid,Chenodeoxycholic acid,Cholic acid,Butyric acid,2-Methylbutyric acid,Isovaleric acid,Desaminotyrosine,Ursodeoxycholic acid,Valeric acid,Propionic acid,g-Muricholic acid hyocholic acid,Glycodeoxycholic acid,Dehydrolithocholic acid
BAX6_V__456,0.234952803102657,0.0529606919486963,0.0164503356146966,0.0516535877565476,0.0862769021005006,0.159895458729424,0.673896995472953,0.519824983020533,0.171875447075679,0.35886756066099,0.801024313843773,0.503699306684706,0.269501450065115,0.234952803102657,0.591331314926534
VC_163_0,8.18395297004367e-05,0.000494792830380626,0.00178046467286281,0.0240780607181393,0.0674472061015987,0.0189567574831843,0.269501450065115,0.217750234536164,8.50223462325176e-05,0.103487295525588,0.558331220568984,0.0906643922207048,0.156387571015534,0.458212032569595,0.8959330354755
BAC3_V__5269,0.00996587060569103,0.00598529107144219,0.0447276797001073,0.906052616617061,0.715317237780707,8.65819262991129e-11,4.25593014089074e-07,4.33467165249095e-08,3.41951828651687e-07,0.00669520424890532,1.56084077581512e-07,6.37316593778939e-07,0.640369304849197,0.912957152403825,0.000976815807364642
BAX1_V__456,0.24412646342791,0.0293643573421374,0.00598529107144219,0.0271584575300391,0.0529606919486963,0.234952803102657,0.778218343229687,0.593823432987198,0.356201707928842,0.192950635070494,0.952595742200848,0.560294443585121,0.104014553168963,0.18159047275391,0.503652744288316
G23J_7936V__5674,0.00489633886614364,0.0273430720491318,0.0198047864520077,0.166150974420529,0.536818781352911,0.217750234536164,0.941730005857602,0.906052616617061,0.00601794486531224,0.0755540231108236,0.998144721294362,0.715317237780707,0.204485419127833,0.591331314926534,0.238264054432713
VC_767_0,0.0822502266192153,0.260237667590215,0.217750234536164,0.23369256923854,0.737095487783698,0.941730005857602,0.701566926019282,0.798655353978151,0.365939232170151,0.373914078610344,0.283340100866377,0.610574044193802,0.577637322238192,0.234094804522722,0.35172008016109
G01M_8520_V__5417,0.00489633886614364,0.00719488269842356,0.0352148533882888,0.0271794294782492,0.0856410334387117,0.799649451491914,0.803718513858917,0.941730005857602,0.000647603059137462,0.0966489044406065,0.514031735098481,0.941730005857602,0.456830252776138,0.43168337858837,0.777109332477236
G01M_8396_V__433,0.0116804453954074,0.0229887355510904,0.00598529107144219,0.0431254637787273,0.0907462969089526,0.899834562809758,0.739434683878524,0.801024313843773,0.234952803102657,0.170165986243189,0.352511109770404,0.798655353978151,0.558331220568984,0.0906643922207048,0.238572641767124
G01M_8528_V__367,0.0229887355510904,0.00428444202679356,0.0883618920773138,0.0460403014714442,0.00178046467286281,1.53327225663363e-06,0.00178046467286281,1.56084077581512e-07,3.79231061134222e-05,0.476601808303496,7.84125793932703e-10,8.65819262991129e-11,0.295821963242621,0.00192138056075603,7.35190415485873e-05
VC_62_0,0.386356328618834,0.0660630771438598,0.14447893150456,0.62448785217976,0.591331314926534,6.8229990149563e-06,0.00439620402155205,0.000293496543476921,3.02518733194432e-05,0.0229887355510904,0.00439620402155205,0.0042311262584494,0.591331314926534,0.783557221766299,0.0201807539626513
VC_64_0,0.234094804522722,0.0590406673867055,0.0783928016810269,0.715317237780707,0.906052616617061,0.000494792830380626,0.00439620402155205,0.00489633886614364,0.000976815807364642,0.0127057745145314,0.00598529107144219,0.0513148617068541,0.335227123221806,0.998144721294362,0.0340966401508131
VC_27_1,0.0110297228738047,0.130277765111819,0.0461645758179637,0.302412265477366,0.798655353978151,0.00110794549389725,0.0110297228738047,0.00178046467286281,0.00489633886614364,0.0989141933344246,0.00589874379809926,0.0062527155767916,0.941730005857602,0.395190311905855,0.139321887700091
G23J_8062V__5887,0.00154507426573149,0.065797831346169,0.242076416974603,0.234952803102657,0.941730005857602,0.0126543085291958,0.0118968573969013,0.0110297228738047,0.0049354080482008,0.558331220568984,0.0453327848470816,0.0129503414924459,0.0755540231108236,0.960530279940398,0.974505106861006
VC_478_1,0.238572641767124,0.24412646342791,0.373824588417098,0.0513148617068541,0.0920407073586596,0.269501450065115,0.16376774543666,0.242193538134092,0.514031735098481,0.00996587060569103,0.072178577417481,0.283400125718063,0.453121898157063,0.610574044193802,0.801024313843773
BAY1_V__645,0.00619206209761428,0.00253920233661139,0.00439620402155205,0.00489633886614364,0.0169081463059542,0.516738754760518,0.960530279940398,0.974505106861006,0.0639530580539915,0.43143134003029,0.941730005857602,0.565175002115434,0.0567614954735892,0.0102967186645139,0.558331220568984
