feature,factor,value,view,sign,feature_id
BAX6_V__456,Factor3,0.939319872125986,virome,-,BAX6_V__456
VC_163_0,Factor3,0.910997692867149,virome,-,VC_163_0
BAC3_V__5269,Factor3,0.89014844484227,virome,+,BAC3_V__5269
BAX1_V__456,Factor3,0.889352475686059,virome,-,BAX1_V__456
G23J_7936V__5674,Factor3,0.836594204699935,virome,-,G23J_7936V__5674
VC_767_0,Factor3,0.816851029596978,virome,-,VC_767_0
G01M_8528_V__367,Factor3,0.801815839425492,virome,-,G01M_8528_V__367
G01M_8396_V__433,Factor3,0.785147835355226,virome,-,G01M_8396_V__433
G01M_8520_V__5417,Factor3,0.784517425976396,virome,-,G01M_8520_V__5417
VC_62_0,Factor3,0.727724391253668,virome,+,VC_62_0
VC_64_0,Factor3,0.696244029748214,virome,+,VC_64_0
VC_27_1,Factor3,0.686800048107494,virome,+,VC_27_1
G23J_8062V__5887,Factor3,0.675542167560757,virome,+,G23J_8062V__5887
VC_478_1,Factor3,0.655909556552374,virome,-,VC_478_1
G23J7927V1__1891,Factor3,0.634043574597464,virome,+,G23J7927V1__1891
