"",1,2,Acetic acid,Propionic acid,Isobutyric acid,Butyric acid,2-Methylbutyric acid,Isovaleric acid,Valeric acid,Hexanoic acid,Lactic acid,Desaminotyrosine,Indole-3-carboxyaldehyde
M-AA-1,control,-1,195.282,72.532,14.535,36.1,8.554,15.148,3.47,0.0005294118,0.0364285714,2.193,0.056
M-AA-2,control,0,31.667,0.056,0.001,0.014,6.45162e-05,0.001,3.37078e-05,0.0005294118,0.0364285714,0.0015294118,0.000120482
M-AA-3,control,1,1.008,0.032,0.005,0.005,6.45162e-05,0.005,3.37078e-05,0.0005294118,0.0364285714,0.0015294118,0.000120482
M-AA-4,control,2,0.433,0.0064,0.001,0.001,6.45162e-05,0.001,3.37078e-05,0.0005294118,0.0364285714,0.0015294118,0.000120482
M-AA-5,control,4,82.304,0.172,0.001,0.221,6.45162e-05,0.049,3.37078e-05,0.0005294118,0.0364285714,0.0015294118,0.000120482
M-AB-1,control,-1,129.46,55.99,5.51,31.15,3.28,3.99,6.67,0.53,0.0364285714,0.02,0.11
M-AB-2,control,1,230.04,68.59,1.03,90,0.88,1.2,1.28,0.0005294118,0.0364285714,1.97,0.04
M-AB-3,control,2,72.98,50.4,1.67,1.37,0.96,1.42,0.21,0.0005294118,2.31,0.04,0.02
M-AB-4,control,4,67.56,49.01,2.6,1.61,1.69,2.04,0.24,0.0005294118,2.51,0.03,0.02
M-AD-1,control,-1,132.57,69.59,8.68,17.1,4.22,5.61,6.97,0.0005294118,0.0364285714,0.0015294118,0.04
M-AD-2,control,0,0.0866,0.1,0.001,0.001,6.45162e-05,0.001,3.37078e-05,0.0005294118,29.95,0.0015294118,0.000120482
M-AD-3,control,2,190.66,8.55,9.4,0.001,4.72,10.28,3.37078e-05,0.0005294118,2.39,0.0015294118,0.03
M-AF-1,control,-1,369.164118,107.6405882,13.40382353,97.46029412,6.855882353,6.897647059,15.64294118,0.187058824,4.089117647,0.705588235,0.040294118
M-AF-2,control,0,282.435,78.1325,15.94,48.43,8.3985,8.713,9.7015,0.0395,0.0364285714,0.821,0.1725
M-AF-3,control,1,117.903667,41.78366667,3.334,6.592333333,1.658,1.862333333,0.527666667,0.0005294118,1.886,0.079666667,0.036333333
M-AF-4,control,2,176.461154,55.01,2.64884615,9.567307692,1.327692308,1.506538462,0.829615385,0.0005294118,0.0364285714,0.072307692,0.004230769
M-AG-1,control,-1,137.864524,42.56952381,9.85261905,14.88095238,5.975238095,6.681904762,8.89047619,4.06547619,0.0364285714,0.0015294118,0.121666667
M-AG-2,control,0,12.470217,0.43565217,0.38021739,0.830217391,0.171521739,0.023913043,0.007608696,0.0005294118,16.56021739,0.0015294118,0.002173913
M-AG-3,control,2,4.193735,0.2213253,0.1786747,0.141084337,0.083614458,0.014216867,0.00746988,0.0005294118,1.179036145,0.0015294118,0.00060241
M-AG-4,control,0,4.281176,0.26372549,0.32882353,0.044705882,0.131176471,0.015098039,3.37078e-05,0.0005294118,5.608823529,0.0015294118,0.000120482
M-AG-5,control,1,20.453421,0.51894737,0.44526316,0.172105263,0.230789474,0.038421053,0.013157895,0.0005294118,19.30973684,0.0015294118,0.003421053
M-AG-6,control,2,16.32,0.88727273,0.80090909,0.138636364,0.304545455,0.041818182,0.018636364,0.0005294118,20.13909091,0.0015294118,0.001363636
M-AJ-1,control,-1,171.388966,47.19948276,10.56810345,29.2487931,5.968793103,6.556896552,10.01431034,5.930689655,0.0364285714,0.246896552,0.060517241
M-AJ-2,control,0,191.928823,47.19941176,8.08411765,28.71588235,5.14,5.803235294,11.46352941,8.143529412,0.0364285714,0.198529412,0.110588235
M-AJ-3,control,1,86.813243,22.68756757,6.13891892,10.85540541,3.697027027,4.163243243,1.557027027,1.142432432,0.0364285714,0.0015294118,0.049459459
M-AJ-4,control,2,113.505294,20.27382353,3.205,1.187058824,1.283235294,1.349117647,0.572058824,0.0005294118,6.647941176,0.007647059,0.012647059
M-AL-1,control,-1,105.912258,23.04516129,6.93903226,9.302580645,3.915483871,4.72483871,4.619032258,0.252580645,0.0364285714,0.0015294118,0.035483871
M-AL-2,control,0,170.238947,60.66684211,12.75342105,25.60236842,8.895,8.883421053,10.25736842,1.994736842,0.0364285714,0.0015294118,0.093421053
M-AL-3,control,1,45.738167,7.4095,3.90116667,6.934833333,2.051666667,2.529333333,2.841166667,0.507166667,0.0364285714,0.0015294118,0.062166667
