,Genus
otu3244,Marvinbryantia
otu3714,unclassified_Lachnospiraceae
otu4164,Marvinbryantia
otu2494,Marvinbryantia
otu3712,Marvinbryantia
otu3179,unclassified_Lachnospiraceae
otu4150,unclassified_Lachnospiraceae
otu3766,unclassified_Lachnospiraceae
otu3806,unclassified_Lachnospiraceae
otu604,Lachnospiraceae UCG-008
otu2911,[Ruminococcus] gauvreauii group
otu1591,Lachnospiraceae UCG-008
otu1802,unclassified_Lachnospiraceae
otu2081,[Ruminococcus] gauvreauii group
otu2713,[Ruminococcus] gauvreauii group
otu1242,[Ruminococcus] gauvreauii group
otu2947,[Ruminococcus] gauvreauii group
otu1826,unclassified_Lachnospiraceae
otu3884,Marvinbryantia
otu2112,Marvinbryantia
otu2257,Marvinbryantia
otu2193,Marvinbryantia
otu3122,Lachnospiraceae FE2018 group
otu3759,Lachnospiraceae FE2018 group
otu658,Fusicatenibacter
otu483,Fusicatenibacter
otu109,Fusicatenibacter
otu224,Fusicatenibacter
otu1282,Fusicatenibacter
otu281,unclassified_Lachnospiraceae
otu272,Fusicatenibacter
otu1059,Fusicatenibacter
otu1046,unclassified_Lachnospiraceae
otu265,Fusicatenibacter
otu336,Fusicatenibacter
otu1196,Fusicatenibacter
otu3522,Fusicatenibacter
otu431,Fusicatenibacter
otu1364,Fusicatenibacter
otu772,Fusicatenibacter
otu817,Fusicatenibacter
otu369,Fusicatenibacter
otu4037,unclassified_Lachnospiraceae
otu524,Fusicatenibacter
otu696,[Ruminococcus] gauvreauii group
otu582,Fusicatenibacter
otu1812,Fusicatenibacter
otu388,Fusicatenibacter
otu1725,Fusicatenibacter
otu2466,Lachnospiraceae UCG-008
otu638,Agathobacter
otu3425,Oribacterium
otu3885,unclassified_Lachnospiraceae
otu4172,unclassified_Lachnospiraceae
otu3612,unclassified_Lachnospiraceae
otu2844,unclassified_Lachnospiraceae
otu2427,unclassified_Lachnospiraceae
otu3144,unclassified_Lachnospiraceae
otu548,GCA-900066575
otu1493,GCA-900066575
otu2710,GCA-900066575
otu1979,GCA-900066575
otu2262,unclassified_Lachnospiraceae
otu2891,unclassified_Lachnospiraceae
otu1898,unclassified_Lachnospiraceae
otu3879,unclassified_Lachnospiraceae
otu2365,unclassified_Lachnospiraceae
otu3744,unclassified_Lachnospiraceae
