,Genus
otu995,Naumovozyma
otu2588,unidentified
otu2425,unidentified
otu3040,Candida
otu3368,Candida
otu3059,Suillus
otu3523,Candida
otu3260,Suillus
otu2846,Saccharomyces
otu2868,Saccharomyces
otu3583,Saccharomyces
otu1512,Saccharomyces
otu2413,Saccharomyces
otu2839,Saccharomyces
otu3404,Saccharomyces
otu2909,Saccharomyces
otu3621,Saccharomyces
otu3154,Penicillium
otu462,unidentified
otu568,unidentified
otu1829,unidentified
otu220,unidentified
otu892,unidentified
otu2551,Syncephalastrum
otu2552,Aspergillus
otu2711,unidentified
otu2941,Kazachstania
otu2940,Xeromyces
otu2246,unidentified
otu3175,unidentified
otu996,unidentified
otu2044,unidentified
otu529,unidentified_12
otu1017,unidentified_12
otu1716,unidentified
otu91,unidentified
otu350,unidentified
otu662,unidentified
otu1255,unidentified
otu1269,unidentified_12
otu2934,unidentified
otu993,unidentified
otu3340,unclassified_Trichosporonaceae
otu2322,unidentified
otu2690,unidentified
otu1216,unidentified
otu1514,unidentified
otu3426,unidentified
otu1355,unidentified_100
otu3356,unidentified
otu252,unidentified
otu315,unidentified
otu245,unidentified
otu525,unidentified_100
otu710,unidentified_100
otu35,unidentified_100
otu1693,unidentified
otu501,unidentified
otu1196,unidentified_100
otu30,unidentified_100
otu2631,unidentified_100
otu1214,unidentified_100
otu1031,unidentified_100
otu719,unclassified_Thelephoraceae
otu709,unidentified
otu380,unidentified_100
otu195,unidentified_100
otu77,unidentified_100
otu1498,unidentified
otu1658,unidentified
otu234,unidentified
otu1176,unidentified
otu631,unidentified
otu1896,unidentified
otu1251,unidentified
otu1167,unidentified
otu2401,Saccharomyces
otu699,Candida
otu2028,unclassified_Saccharomycetaceae
otu1855,unclassified_Saccharomycetaceae
otu3369,unidentified
otu2692,Agaricus
otu2681,Agaricus
otu46,Agaricus
otu99,Agaricus
otu1148,unidentified
otu2863,unidentified
otu356,Farysia
otu365,Pseudozyma
otu1226,unclassified_Ustilaginaceae
otu876,Moesziomyces
otu2851,Pseudozyma
otu2015,Ustilago
otu2400,unidentified
otu1816,Mucor
otu733,Mucor
otu537,Mucor
otu1051,Mucor
otu729,Rhizopus
otu1472,Rhizopus
otu692,unidentified_3899
otu1210,Pseudomicrostroma
otu1750,Microstroma
otu1837,Tilletiopsis
otu2053,Exobasidium
otu469,Malassezia
otu1319,unidentified_23
otu1166,Ceraceosorus
otu85,unclassified_Debaryomycetaceae
otu2704,Meyerozyma
otu2103,Malassezia
otu2858,Malassezia
otu2876,Malassezia
otu73,unidentified_14318
otu3443,unidentified
otu459,Malassezia
otu101,Malassezia
otu174,Malassezia
otu111,Malassezia
otu922,Malassezia
otu258,Malassezia
otu476,Malassezia
otu761,Malassezia
otu1036,Malassezia
otu864,Malassezia
otu271,Malassezia
otu290,Malassezia
otu128,Malassezia
otu730,Malassezia
otu233,Malassezia
otu1124,Malassezia
otu376,Malassezia
otu3158,Malassezia
otu24,Malassezia
otu512,Malassezia
otu178,Malassezia
otu301,Malassezia
otu503,Malassezia
otu186,Malassezia
otu3648,unidentified_14318
otu282,Saprochaete
otu758,unidentified_51
otu1054,Trichomonascus
otu139,Hyphopichia
otu280,Hyphopichia
otu303,Hyphopichia
otu973,Hyphopichia
otu2912,unidentified
otu701,Kodamaea
otu659,Candida
otu1235,Candida
otu76,Clavispora
otu3445,unidentified
otu543,unidentified
otu897,unidentified_51
otu663,unidentified_51
otu1482,unidentified_51
otu1109,unidentified
otu772,unidentified
otu800,unidentified
otu903,unidentified
otu2533,Debaryomyces
otu2938,Meyerozyma
otu90,unidentified
otu2658,Candida
otu473,Scheffersomyces
otu594,Candida
otu840,Yamadazyma
otu56,Candida
otu2196,Candida
otu951,unidentified_51
otu562,Wickerhamomyces
otu1236,Wickerhamomyces
otu573,unidentified
otu2642,Debaryomyces
otu3451,Debaryomyces
otu3388,Debaryomyces
otu3431,Debaryomyces
otu1292,Debaryomyces
otu13,unclassified_Debaryomycetaceae
otu2950,Meyerozyma
otu597,Meyerozyma
otu664,Meyerozyma
otu5,Meyerozyma
otu878,Meyerozyma
otu399,unclassified_Debaryomycetaceae
otu1206,Candida
otu50,Candida
otu141,Candida
otu387,Candida
otu457,Candida
otu215,Candida
otu238,Candida
otu626,Candida
otu1085,Candida
otu983,Candida
otu2,Candida
otu34,Candida
otu420,Candida
otu850,Candida
otu535,Candida
otu1340,Candida
otu246,Candida
otu192,Candida
otu135,Candida
otu1782,Candida
otu1195,Candida
otu270,Candida
otu1698,Candida
otu1576,Candida
otu2506,Candida
otu1907,Candida
otu1366,Candida
otu1694,Candida
otu3403,Candida
otu3117,Candida
otu2832,Candida
otu2128,Candida
otu9,Candida
otu415,Candida
otu244,Candida
otu8,Candida
otu587,Candida
otu823,Candida
otu763,Candida
otu611,Candida
otu651,Candida
otu1528,Candida
otu2939,Candida
